frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
61,8.74,0.03,7.44,0.1,5.15,0.09,6.08,0.05,4.21,0.04,-1.9500000476837158,0.36000001430511475,2.32,0.07,11.2,5.0,7.36,-1.06,0.8600000143051147,0.07999999821186066,3.26,0.12,,,,,,,,,,
62,8.74,0.04,7.45,0.09,5.16,0.09,6.08,0.05,4.21,0.05,-1.940000057220459,0.36000001430511475,2.32,0.07,11.2,5.0,7.37,-1.06,0.8600000143051147,0.07999999821186066,3.27,0.12,3.369999885559082,-1.600000023841858,,,,,,,,
63,8.74,0.03,7.44,0.09,5.16,0.09,6.08,0.06,4.21,0.05,-1.9500000476837158,0.3700000047683716,2.32,0.07,11.2,5.0,7.38,-1.06,0.8700000047683716,0.07999999821186066,3.27,0.13,3.369999885559082,-1.590000033378601,,,,,,,,
64,8.73,0.03,7.44,0.08,5.15,0.09,6.08,0.05,4.22,0.05,-1.9500000476837158,0.3700000047683716,2.33,0.07,11.2,5.0,7.38,-1.06,0.8700000047683716,0.07000000029802322,3.27,0.13,3.359999895095825,-1.590000033378601,,,,,,,,
65,8.73,0.03,7.45,0.07,5.15,0.1,6.08,0.05,4.23,0.05,-1.940000057220459,0.36000001430511475,2.33,0.07,11.19,4.98,7.39,-1.06,0.8799999952316284,0.07000000029802322,3.28,0.12,3.369999885559082,-1.590000033378601,,,,,,,,
66,8.73,0.03,7.45,0.06,5.15,0.1,6.08,0.05,4.23,0.05,-1.940000057220459,0.36000001430511475,2.34,0.06,11.19,4.98,7.4,-1.06,0.8700000047683716,0.07000000029802322,3.27,0.13,3.4000000953674316,-1.590000033378601,,,,,,,,
67,8.73,0.03,7.45,0.06,5.15,0.1,6.09,0.04,4.23,0.06,-1.940000057220459,0.3700000047683716,2.35,0.05,11.19,4.98,7.41,-1.06,0.8700000047683716,0.07000000029802322,3.27,0.13,3.440000057220459,-1.590000033378601,,,,,,,,
68,8.73,0.03,7.46,0.06,5.14,0.09,6.09,0.04,4.23,0.06,-1.940000057220459,0.3700000047683716,2.35,0.05,11.19,4.98,7.42,-1.06,0.8500000238418579,0.07000000029802322,3.27,0.13,3.4600000381469727,-1.590000033378601,,,,,,,,
69,8.73,0.03,7.46,0.05,5.14,0.1,6.1,0.04,4.23,0.06,-1.9600000381469727,0.3799999952316284,2.35,0.05,11.19,4.98,7.43,-1.05,0.8399999737739563,0.07000000029802322,3.28,0.12,3.4600000381469727,-1.5800000429153442,3.390000104904175,-1.600000023841858,,,,,,
70,8.74,0.03,7.46,0.05,5.14,0.1,6.1,0.04,4.23,0.06,-1.9600000381469727,0.3799999952316284,2.35,0.05,11.19,4.98,7.44,-1.06,0.8299999833106995,0.07999999821186066,3.28,0.12,3.4200000762939453,-1.5700000524520874,3.4000000953674316,-1.600000023841858,,,,,,
71,8.74,0.03,7.46,0.05,5.14,0.1,6.1,0.04,4.23,0.06,-1.9600000381469727,0.3799999952316284,2.34,0.05,11.19,4.98,7.44,-1.05,0.8199999928474426,0.07999999821186066,3.27,0.12,,,,,,,,,,
72,8.74,0.03,7.46,0.05,5.13,0.1,6.1,0.04,4.23,0.07,-1.9500000476837158,0.3799999952316284,2.34,0.04,11.18,4.97,7.45,-1.05,0.8299999833106995,0.07000000029802322,3.27,0.12,,,,,,,,,,
73,8.74,0.03,7.46,0.05,5.13,0.1,6.1,0.04,4.24,0.07,-1.9500000476837158,0.3799999952316284,2.32,0.05,11.18,4.97,7.45,-1.05,0.8299999833106995,0.07000000029802322,3.26,0.12,,,,,,,,,,
74,8.74,0.03,7.46,0.05,5.12,0.1,6.1,0.04,4.24,0.06,-1.9700000286102295,0.3799999952316284,2.32,0.04,11.18,4.97,7.46,-1.05,0.8199999928474426,0.07000000029802322,3.27,0.11,3.450000047683716,-1.5499999523162842,,,,,,,,
75,8.74,0.04,7.46,0.05,5.12,0.1,6.11,0.04,4.24,0.06,-1.9700000286102295,0.3799999952316284,2.31,0.04,11.18,4.97,7.46,-1.05,0.8299999833106995,0.05999999865889549,3.26,0.11,3.4700000286102295,-1.5499999523162842,,,,,,,,
76,8.75,0.05,7.45,0.06,5.12,0.1,6.11,0.04,4.24,0.06,-1.9700000286102295,0.38999998569488525,2.3,0.04,11.18,4.98,7.47,-1.05,0.8100000023841858,0.07000000029802322,3.26,0.11,3.490000009536743,-1.5499999523162842,,,,,,,,
77,8.75,0.06,7.45,0.05,5.12,0.1,6.11,0.04,4.24,0.06,-1.9800000190734863,0.38999998569488525,2.29,0.04,11.18,4.98,7.47,-1.05,0.800000011920929,0.07000000029802322,3.26,0.11,3.4700000286102295,-1.559999942779541,,,,,,,,
78,8.75,0.06,7.45,0.05,5.12,0.1,6.11,0.04,4.24,0.07,-1.9700000286102295,0.38999998569488525,2.28,0.04,11.18,4.98,7.48,-1.05,0.800000011920929,0.07000000029802322,3.26,0.11,3.4600000381469727,-1.559999942779541,,,,,,,,
79,8.75,0.06,7.45,0.04,5.12,0.1,6.11,0.04,4.24,0.07,-1.9700000286102295,0.38999998569488525,2.27,0.04,11.17,4.97,7.48,-1.05,0.800000011920929,0.07000000029802322,3.26,0.11,3.490000009536743,-1.5499999523162842,,,,,,,,
80,8.76,0.07,7.44,0.04,5.12,0.1,6.12,0.04,4.24,0.06,-1.9800000190734863,0.38999998569488525,2.28,0.03,11.17,4.97,7.49,-1.05,0.800000011920929,0.07000000029802322,3.25,0.11,3.5,-1.5399999618530273,3.4100000858306885,-1.590000033378601,3.440000057220459,-1.559999942779541,,,,
81,8.76,0.07,7.44,0.04,5.12,0.1,6.11,0.04,4.24,0.06,-1.9700000286102295,0.38999998569488525,2.28,0.03,11.16,4.96,7.49,-1.05,0.8100000023841858,0.07000000029802322,3.25,0.11,3.5199999809265137,-1.5399999618530273,3.4100000858306885,-1.590000033378601,3.430000066757202,-1.559999942779541,,,,
82,8.76,0.07,7.44,0.05,5.12,0.1,6.12,0.04,4.24,0.07,-1.9700000286102295,0.38999998569488525,2.27,0.03,11.16,4.96,7.49,-1.05,0.800000011920929,0.07000000029802322,3.23,0.12,3.5299999713897705,-1.5399999618530273,3.4000000953674316,-1.590000033378601,3.430000066757202,-1.559999942779541,,,,
