frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
44,91.6,-1.92,77.94,-0.55,53.69,0.19,63.56,-0.47,43.41,-0.51,-24.600000381469727,5.239999771118164,22.87,-0.22,118.05,65.65,77.58,-15.32,7.860000133514404,0.9399999976158142,32.56,0.99,,,,,,,,,,
45,91.63,-1.86,77.99,-0.51,53.72,0.15,63.57,-0.55,43.41,-0.51,-24.520000457763672,5.170000076293945,22.97,-0.26,118.05,65.65,77.6,-15.32,7.860000133514404,0.9399999976158142,32.56,0.99,,,,,,,,,,
46,91.63,-1.79,77.98,-0.47,53.72,0.15,63.57,-0.55,43.37,-0.47,-24.56999969482422,5.170000076293945,23.03,-0.25,117.85,65.28,77.6,-15.32,7.820000171661377,0.9300000071525574,32.64,0.95,,,,,,,,,,
47,91.63,-1.76,77.97,-0.44,53.72,0.15,63.56,-0.59,43.37,-0.47,-24.440000534057617,5.110000133514404,22.95,-0.16,117.8,65.27,77.6,-15.32,7.739999771118164,0.9800000190734863,32.78,0.87,,,,,,,,,,
48,91.61,-1.8,77.98,-0.36,53.66,0.22,63.55,-0.63,43.37,-0.47,-24.399999618530273,5.119999885559082,23.2,-0.28,117.71,64.92,77.6,-15.32,7.699999809265137,0.9700000286102295,32.81,0.88,,,,,,,,,,
49,91.61,-1.74,77.95,-0.37,53.63,0.22,63.55,-0.63,43.37,-0.47,-24.18000030517578,5.070000171661377,23.38,-0.35,117.76,64.92,77.6,-15.33,7.590000152587891,1.0099999904632568,32.89,0.84,,,,,,,,,,
50,91.58,-1.74,77.95,-0.37,53.63,0.22,63.53,-0.59,43.29,-0.39,-24.139999389648438,5.070000171661377,23.48,-0.39,117.72,64.74,77.6,-15.33,7.510000228881836,1.059999942779541,32.91,0.89,,,,,,,,,,
51,91.56,-1.71,77.94,-0.33,53.66,0.18,63.51,-0.59,43.29,-0.35,-24.09000015258789,5.079999923706055,23.54,-0.38,117.73,64.57,77.61,-15.35,7.550000190734863,1.0099999904632568,32.92,0.94,,,,,,,,,,
52,91.54,-1.72,77.9,-0.38,53.66,0.18,63.52,-0.67,43.29,-0.35,-24.049999237060547,5.090000152587891,23.4,-0.25,117.73,64.57,77.59,-15.35,7.670000076293945,0.9100000262260437,33.14,0.83,,,,,,,,,,
53,91.49,-1.72,77.94,-0.33,53.66,0.18,63.5,-0.63,43.33,-0.39,-23.959999084472656,5.099999904632568,23.32,-0.11,117.73,64.57,77.54,-15.38,7.710000038146973,0.8600000143051147,33.26,0.79,,,,,,,,,,
54,91.46,-1.7,77.93,-0.3,53.69,0.19,63.53,-0.63,43.43,-0.46,-23.8799991607666,5.110000133514404,23.28,0.03,117.73,64.57,77.47,-15.41,7.679999828338623,0.8600000143051147,33.24,0.84,,,,,,,,,,
55,91.46,-1.67,77.9,-0.2,53.72,0.15,63.6,-0.7,43.5,-0.49,-23.829999923706055,5.110000133514404,23.29,0.13,117.73,64.57,77.4,-15.42,7.599999904632568,0.8500000238418579,33.36,0.81,,,,,,,,,,
56,91.44,-1.61,77.9,-0.09,53.72,0.15,63.6,-0.7,43.61,-0.52,-23.65999984741211,5.059999942779541,23.36,0.14,117.79,64.58,77.28,-15.42,7.570000171661377,0.8399999737739563,33.42,0.82,,,,,,,,,,
57,91.42,-1.58,77.92,-0.05,53.69,0.14,63.62,-0.73,43.68,-0.6,-23.579999923706055,5.070000171661377,23.61,0.03,117.75,64.4,77.15,-15.44,7.53000020980835,0.8399999737739563,33.49,0.82,,,,,,,,,,
58,91.42,-1.49,77.94,-0.12,53.69,0.14,63.62,-0.69,43.71,-0.55,-23.530000686645508,5.079999923706055,23.62,0.08,117.79,64.58,76.98,-15.46,7.369999885559082,0.9300000071525574,33.54,0.78,,,,,,,,,,
59,91.42,-1.36,77.92,-0.16,53.72,0.15,63.55,-0.63,43.62,-0.43,-23.530000686645508,5.079999923706055,23.41,0.25,117.83,64.75,76.92,-15.46,7.420000076293945,0.8799999952316284,33.52,0.83,,,,,,,,,,
60,91.4,-1.3,77.9,-0.2,53.72,0.15,63.53,-0.59,43.61,-0.35,-23.610000610351562,5.139999866485596,23.35,0.29,117.83,64.75,76.88,-15.46,7.489999771118164,0.8299999833106995,33.51,0.88,,,,,,,,,,
61,91.37,-1.28,77.85,-0.2,53.72,0.15,63.51,-0.55,43.64,-0.34,-23.610000610351562,5.139999866485596,23.33,0.34,117.82,64.93,76.97,-15.47,7.460000038146973,0.8299999833106995,33.51,0.88,,,,,,,,,,
62,91.35,-1.25,77.87,-0.27,53.75,0.15,63.51,-0.55,43.61,-0.21,-23.56999969482422,5.150000095367432,23.3,0.39,117.82,64.93,77.06,-15.45,7.460000038146973,0.8299999833106995,33.54,0.88,34.97999954223633,-21.959999084472656,,,,,,,,
63,91.33,-1.28,77.85,-0.31,53.75,0.15,63.49,-0.52,43.68,-0.2,-23.649999618530273,5.210000038146973,23.3,0.39,117.82,64.93,77.13,-15.44,7.539999961853027,0.7799999713897705,33.52,0.93,34.95000076293945,-21.950000762939453,,,,,,,,
64,91.28,-1.29,77.85,-0.42,53.72,0.15,63.53,-0.59,43.78,-0.28,-23.649999618530273,5.210000038146973,23.4,0.35,117.82,64.93,77.19,-15.43,7.619999885559082,0.6800000071525574,33.54,0.98,34.95000076293945,-21.93000030517578,,,,,,,,
65,91.25,-1.29,77.9,-0.59,53.66,0.18,63.53,-0.59,43.85,-0.31,-23.530000686645508,5.150000095367432,23.49,0.31,117.72,64.74,77.27,-15.4,7.699999809265137,0.6399999856948853,33.67,0.9,34.9900016784668,-21.93000030517578,,,,,,,,
66,91.25,-1.26,77.92,-0.66,53.66,0.18,63.55,-0.63,43.84,-0.23,-23.530000686645508,5.150000095367432,23.61,0.23,117.72,64.74,77.39,-15.4,7.630000114440918,0.6299999952316284,33.62,0.94,35.279998779296875,-21.940000534057617,,,,,,,,
67,91.25,-1.26,77.95,-0.69,53.66,0.18,63.62,-0.69,43.86,-0.18,-23.559999465942383,5.21999979019165,23.69,0.14,117.72,64.74,77.5,-15.42,7.550000190734863,0.6200000047683716,33.62,0.94,35.7400016784668,-21.860000610351562,,,,,,,,
68,91.25,-1.26,78.0,-0.75,53.51,0.16,63.65,-0.69,43.85,-0.13,-23.520000457763672,5.230000019073486,23.72,0.09,117.72,64.74,77.59,-15.39,7.400000095367432,0.6499999761581421,33.62,0.94,35.95000076293945,-21.850000381469727,,,,,,,,
69,91.28,-1.29,78.01,-0.79,53.57,0.21,63.68,-0.69,43.85,-0.09,-23.770000457763672,5.340000152587891,23.69,0.09,117.72,64.74,77.69,-15.35,7.289999961853027,0.6899999976158142,33.67,0.9,35.91999816894531,-21.829999923706055,35.220001220703125,-22.0,,,,,,
70,91.3,-1.25,78.04,-0.82,53.51,0.29,63.71,-0.68,43.88,-0.09,-23.770000457763672,5.340000152587891,23.62,0.08,117.72,64.74,77.75,-15.36,7.099999904632568,0.7200000286102295,33.64,0.89,35.5,-21.65999984741211,35.29999923706055,-21.989999771118164,,,,,,
71,91.33,-1.28,78.01,-0.79,53.51,0.29,63.73,-0.72,43.91,-0.08,-23.770000457763672,5.340000152587891,23.55,0.07,117.72,64.74,77.81,-15.35,7.059999942779541,0.7200000286102295,33.62,0.84,,,,,,,,,,
72,91.35,-1.28,78.01,-0.79,53.48,0.28,63.73,-0.72,43.9,-0.04,-23.729999542236328,5.349999904632568,23.54,0.02,117.68,64.57,77.85,-15.35,7.139999866485596,0.6700000166893005,33.55,0.83,,,,,,,,,,
73,91.37,-1.31,77.98,-0.79,53.48,0.28,63.73,-0.72,43.93,-0.03,-23.729999542236328,5.349999904632568,23.38,0.05,117.68,64.57,77.88,-15.34,7.139999866485596,0.6200000047683716,33.47,0.87,,,,,,,,,,
74,91.37,-1.28,77.99,-0.82,53.39,0.27,63.78,-0.75,44.01,-0.11,-23.850000381469727,5.400000095367432,23.37,-0.01,117.62,64.56,77.94,-15.33,7.070000171661377,0.6100000143051147,33.54,0.78,35.869998931884766,-21.420000076293945,,,,,,,,
75,91.4,-1.18,77.98,-0.79,53.36,0.27,63.8,-0.79,43.97,-0.07,-23.850000381469727,5.400000095367432,23.27,-0.02,117.62,64.56,77.99,-15.32,7.110000133514404,0.5600000023841858,33.51,0.78,36.02000045776367,-21.360000610351562,,,,,,,,
76,91.43,-1.05,77.95,-0.76,53.39,0.23,63.83,-0.78,44.0,-0.07,-23.940000534057617,5.46999979019165,23.11,0.01,117.67,64.74,78.07,-15.33,6.929999828338623,0.5899999737739563,33.47,0.77,36.279998779296875,-21.40999984741211,,,,,,,,
77,91.45,-0.95,77.93,-0.8,53.39,0.23,63.79,-0.71,44.0,-0.07,-24.059999465942383,5.53000020980835,23.01,-0.01,117.67,64.74,78.13,-15.32,6.849999904632568,0.5799999833106995,33.49,0.73,36.060001373291016,-21.520000457763672,,,,,,,,
78,91.45,-0.92,77.92,-0.87,53.39,0.23,63.79,-0.71,43.96,-0.03,-23.940000534057617,5.46999979019165,22.94,-0.01,117.61,64.74,78.17,-15.31,6.849999904632568,0.5799999833106995,33.42,0.72,35.9900016784668,-21.510000228881836,,,,,,,,
79,91.48,-0.88,77.88,-0.91,53.36,0.23,63.81,-0.71,43.96,-0.03,-23.940000534057617,5.46999979019165,22.84,-0.03,117.57,64.56,78.21,-15.32,6.849999904632568,0.5799999833106995,33.42,0.72,36.279998779296875,-21.31999969482422,,,,,,,,
80,91.53,-0.81,77.86,-0.95,53.39,0.23,63.91,-0.77,44.03,-0.06,-24.059999465942383,5.53000020980835,22.89,-0.12,117.51,64.55,78.25,-15.32,6.849999904632568,0.5799999833106995,33.39,0.71,36.38999938964844,-21.229999542236328,35.400001525878906,-21.920000076293945,35.720001220703125,-21.5,,,,
81,91.55,-0.84,77.8,-0.92,53.39,0.23,63.87,-0.7,44.03,-0.06,-23.940000534057617,5.46999979019165,22.95,-0.16,117.47,64.38,78.28,-15.31,6.889999866485596,0.5799999833106995,33.31,0.75,36.58000183105469,-21.25,35.40999984741211,-21.899999618530273,35.66999816894531,-21.530000686645508,,,,
82,91.58,-0.8,77.77,-0.82,53.39,0.23,63.9,-0.69,43.99,-0.03,-23.940000534057617,5.46999979019165,22.85,-0.13,117.47,64.38,78.34,-15.3,6.849999904632568,0.5799999833106995,33.16,0.88,36.75,-21.280000686645508,35.369998931884766,-21.899999618530273,35.68000030517578,-21.559999465942383,,,,
83,91.63,-0.83,77.76,-0.79,53.39,0.23,63.9,-0.69,43.92,0.01,-23.940000534057617,5.46999979019165,22.76,-0.09,117.53,64.38,78.36,-15.3,6.96999979019165,0.5400000214576721,33.06,0.96,36.86000061035156,-21.25,35.41999816894531,-21.8799991607666,,,,,,
84,91.63,-0.89,77.75,-0.86,53.48,0.24,63.9,-0.69,43.96,0.01,-23.940000534057617,5.46999979019165,22.64,-0.0,117.51,64.55,78.36,-15.3,7.0,0.5400000214576721,32.96,1.05,36.90999984741211,-21.219999313354492,35.47999954223633,-21.899999618530273,,,,,,
85,91.63,-0.89,77.77,-0.82,53.51,0.25,63.87,-0.7,43.99,-0.03,-23.940000534057617,5.46999979019165,22.64,-0.0,117.51,64.55,78.36,-15.3,7.0,0.5400000214576721,32.72,1.21,36.97999954223633,-21.190000534057617,,,,,,,,
86,91.65,-0.89,77.73,-0.79,53.45,0.19,63.87,-0.7,43.99,-0.03,-23.979999542236328,5.460000038146973,22.7,-0.05,117.51,64.55,78.35,-15.28,7.039999961853027,0.550000011920929,32.86,1.03,37.16999816894531,-21.18000030517578,,,,,,,,
87,91.63,-0.86,77.73,-0.79,53.45,0.19,63.89,-0.73,43.99,-0.03,-23.979999542236328,5.460000038146973,22.7,-0.05,117.46,64.55,78.33,-15.29,7.039999961853027,0.550000011920929,32.7,1.16,37.41999816894531,-21.270000457763672,,,,,,,,
88,91.63,-0.8,77.71,-0.79,53.42,0.19,63.86,-0.74,44.06,-0.06,-23.979999542236328,5.460000038146973,22.73,-0.04,117.46,64.55,78.3,-15.29,7.039999961853027,0.550000011920929,32.89,1.04,37.470001220703125,-21.239999771118164,,,,,,,,
89,91.63,-0.8,77.68,-0.8,53.48,0.24,63.86,-0.74,44.03,-0.06,-23.979999542236328,5.460000038146973,22.77,-0.04,117.46,64.55,78.28,-15.26,7.079999923706055,0.550000011920929,32.96,0.95,37.900001525878906,-21.34000015258789,,,,,,,,
90,91.63,-0.76,77.66,-0.8,53.48,0.28,63.84,-0.7,44.06,-0.06,-24.020000457763672,5.460000038146973,22.74,0.01,117.46,64.55,78.26,-15.25,7.079999923706055,0.550000011920929,33.09,0.87,37.88999938964844,-21.309999465942383,,,,,,,,
91,91.65,-0.73,77.66,-0.8,53.51,0.29,63.84,-0.7,44.03,-0.06,-23.979999542236328,5.460000038146973,22.78,0.01,117.42,64.37,78.23,-15.23,7.0,0.6000000238418579,32.99,0.95,38.02000045776367,-21.540000915527344,,,,,,,,
92,91.65,-0.76,77.66,-0.8,53.51,0.33,63.81,-0.71,44.03,-0.06,-23.850000381469727,5.400000095367432,22.9,-0.07,117.46,64.55,78.23,-15.23,7.0,0.6000000238418579,32.96,0.95,38.43000030517578,-21.5,,,,,,,,
93,91.65,-0.86,77.63,-0.8,53.51,0.33,63.81,-0.71,44.06,-0.06,-23.979999542236328,5.460000038146973,23.08,-0.15,117.51,64.55,78.22,-15.24,7.0,0.6000000238418579,32.92,0.94,38.29999923706055,-21.59000015258789,,,,,,,,
94,91.6,-0.86,77.63,-0.8,53.48,0.24,63.84,-0.74,44.03,-0.02,-23.979999542236328,5.460000038146973,23.18,-0.18,117.6,64.91,78.24,-15.25,7.039999961853027,0.6000000238418579,32.92,0.94,38.400001525878906,-21.56999969482422,,,,,,,,
95,91.6,-0.8,77.6,-0.81,53.48,0.2,63.81,-0.71,43.99,0.02,-23.979999542236328,5.460000038146973,23.36,-0.26,117.6,64.91,78.22,-15.25,7.110000133514404,0.5600000023841858,32.89,0.94,38.810001373291016,-21.399999618530273,,,,,38.43000030517578,-21.600000381469727,,
96,91.55,-0.81,77.6,-0.81,53.45,0.19,63.81,-0.71,43.91,0.1,-23.850000381469727,5.400000095367432,23.38,-0.16,117.6,64.91,78.25,-15.27,7.079999923706055,0.550000011920929,32.79,1.02,38.7599983215332,-21.389999389648438,,,,,,,,
97,91.51,-0.78,77.59,-0.77,53.45,0.19,63.81,-0.71,43.83,0.18,-23.600000381469727,5.289999961853027,23.33,-0.06,117.6,64.91,78.25,-15.27,7.0,0.6000000238418579,32.64,1.15,38.869998931884766,-21.389999389648438,,,,,39.27000045776367,-21.3799991607666,,
98,91.5,-0.85,77.6,-0.81,53.45,0.19,63.81,-0.71,43.71,0.34,-23.600000381469727,5.289999961853027,23.4,-0.05,117.6,64.91,78.27,-15.28,6.920000076293945,0.6399999856948853,32.59,1.19,39.2599983215332,-21.290000915527344,,,,,,,,
99,91.48,-0.91,77.6,-0.81,53.45,0.19,63.81,-0.71,43.59,0.46,-23.520000457763672,5.230000019073486,23.37,-0.01,117.6,64.91,78.33,-15.27,6.840000152587891,0.6899999976158142,32.53,1.24,39.59000015258789,-21.280000686645508,,,,,,,,
100,91.45,-1.01,77.58,-0.81,53.42,0.19,63.79,-0.67,43.62,0.46,-23.770000457763672,5.340000152587891,23.47,0.01,117.64,65.09,78.39,-15.28,6.880000114440918,0.6899999976158142,32.64,1.15,39.84000015258789,-21.260000228881836,,,,,,,38.779998779296875,-21.530000686645508
